	Bcell_HPCA	DC_HPCA	Fibroblasts_HPCA	MSC_HPCA	Macrophage_HPCA	Monocyte_HPCA	NK cells_HPCA	Tcell_HPCA	Adipocytes_ENCODE	CD4+ Tcell_ENCODE	CD8+ T-cells_ENCODE	Bcell_ENCODE	DC_ENCODE	Eosinophils_ENCODE	Fibroblasts_ENCODE	Macrophage_ENCODE	Monocyte_ENCODE	NK cells_ENCODE
ACACB	6.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	9.0	7.0	5.0	6.0	6.0	10.0	4.0	5.0	5.0	4.0
ACAD10	6.0	5.0	5.0	5.0	5.0	6.0	5.0	5.0	7.0	8.0	8.0	8.0	9.0	9.0	7.0	7.0	7.0	7.0
ACAD11	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.0	8.0	8.0	9.0	8.0	7.0	8.0	7.0	7.0	7.0
ACAD8	7.0	7.0	7.0	7.0	7.0	7.0	8.0	8.0	7.0	8.0	8.0	8.0	7.0	9.0	7.0	8.0	8.0	8.0
ACAD9	8.0	8.0	8.0	9.0	8.0	8.0	7.0	7.0	9.0	8.0	8.0	8.0	8.0	9.0	8.0	9.0	8.0	8.0
ACADL	2.0	1.0	3.0	2.0	2.0	1.0	2.0	2.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ACADM	10.0	9.0	9.0	8.0	10.0	8.0	9.0	9.0	8.0	8.0	9.0	9.0	8.0	7.0	8.0	9.0	7.0	8.0
ACADS	7.0	7.0	6.0	6.0	8.0	8.0	7.0	7.0	9.0	7.0	7.0	6.0	7.0	7.0	7.0	8.0	5.0	7.0
ACADSB	6.0	5.0	6.0	6.0	5.0	5.0	6.0	7.0	6.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	6.0	7.0
ACADVL	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
ACAN	5.0	6.0	7.0	7.0	5.0	6.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ACAP1	9.0	7.0	5.0	5.0	6.0	7.0	8.0	9.0	3.0	10.0	10.0	10.0	8.0	10.0	2.0	8.0	9.0	10.0
